CD4Tconv	Fibroblasts	Malignant	DC
BGN	-1.66	2.26	-1.51	-1.57
IGFBP6	-1.67	-0.29	-1.05	-1.53
FBLN1	-1.67	0.4	-1.4	-1.58
CXCL8	-1.72	-0.86	-0.93	0.58
IL1B	-1.72	0	-1.35	0.97
CD9	-1.74	-0.89	1.5	-1.29
APOD	-1.75	-1.32	-1.64	-1.65
GSTP1	-1.81	-0.28	1.34	0
IER3	-1.82	0.54	0.53	0
HLA-DRA	-1.86	-2.74	-1.72	2.12
TIMP1	-1.91	0.79	-1.9	0.34
KRT19	-1.92	-1.87	2.36	-1.84
FN1	-1.94	2.69	-1.8	-1.78
SFRP2	-1.95	1.53	-1.87	-1.87
KRT5	-2.01	-1.92	1.53	-1.88
IFI27	-2.01	0.3	1.05	-1.7
S100A8	-2.16	-2.08	3.05	-1.73
KRT14	-2.19	-2.07	0.97	-2.11
IFITM3	-2.27	1.09	-0.73	0
LUM	-2.33	2.43	-2.02	-2.24
S100A9	-2.37	-2.29	2.99	-1.81
KRT6A	-2.38	-2.26	2.26	-2.29
GSN	-2.4	-1.27	-1.38	0
S100A2	-2.43	-2.22	1.6	-2.32
COL3A1	-2.49	3.39	-2.36	-2.39
MGP	-2.51	-0.82	-2.41	-2.4
KRT17	-2.53	-2.35	1.75	-2.43
CST3	-2.63	1.31	-0.64	1.39
COL1A2	-2.65	3.27	-2.53	-2.53
IGFBP7	-2.69	0.63	-2.28	-2.28
SPARC	-2.76	2.59	-2.63	-2.54
CFD	-2.81	-2.54	-2.4	-2.6
COL1A1	-3.02	3.77	-2.82	-2.91
DCN	-3.21	0.92	-3	-3.11
AIF1	-0.6	-0.66	-0.62	1.15
STK10	0.26	-0.27	-0.28	0
TBRG1	0.28	0	-0.32	0
FAM102A	0.27	0	0	0
TANK	0.35	-0.34	-0.4	0
PRPF38B	0.31	-0.26	-0.27	0
RSRP1	0.27	-0.27	-0.28	0
MAT2B	0.31	-0.33	-0.33	-0.26
HNRNPUL1	0.33	-0.27	0	0
CASP8	0.29	-0.29	0	0
ORAI1	0.28	0	0	0
NUP98	0.31	-0.3	-0.27	0
XBP1	-0.27	0.81	-0.43	0
ACTA2	-0.94	1.54	-1.12	-1.09
VPS37B	0.3	-0.56	-0.3	-0.44
ACP5	-0.29	-0.68	-0.61	0
HMGN2	-0.36	-0.39	-0.5	0
PLEK	-0.4	-0.55	-0.53	1.24
STAT5A	0.26	0	-0.25	0
CHORDC1	0.3	-0.37	-0.53	0
GPCPD1	0.31	-0.36	-0.26	0
PLIN2	0.34	-0.34	-0.76	-0.32
C9orf78	0.29	0	0	0
HMGA1	-0.3	-0.73	0.79	0
CERK	0.25	0	0	0
DGKA	0.29	0	0	0
JMY	0.26	0	0	0
NFKBIA	-0.49	-0.34	0.66	0.51
AMD1	0.29	-0.43	0	0
MT1E	0.76	-0.25	-0.72	-0.69
GZMB	-1.18	-1.86	-1.81	0
RILPL2	0.31	-0.37	-0.44	0.37
TRIM22	0.28	0.55	-0.49	0
PFKFB3	0.31	-0.26	-0.28	0.43
IDI1	0.31	-0.42	-0.25	0
SESN3	0.42	0	0	0
ARRDC2	0.26	0	0	0
STAM	0.32	0	-0.26	0
AKIRIN1	0.29	-0.26	0	0
DNAJB1	0.37	-0.71	-0.64	0
GSPT1	0.34	-0.3	0	0
PLK3	0.3	0	-0.32	0
CAPZA1	0.25	-0.28	-0.37	0
CSK	0.25	-0.4	-0.29	0
RALGAPA1	0.29	-0.31	-0.27	0
SLBP	0.26	-0.38	-0.36	-0.29
MT-CO2	-0.27	-0.39	0.46	0
CCSER2	0.28	-0.27	-0.26	0
RANBP2	0.28	-0.35	-0.37	0
ITM2B	-0.32	0.78	-0.29	-0.5
SUN2	0.26	-0.27	-0.28	-0.27
SS18L2	0.26	0	0	0
HSPD1	0.3	-0.76	-0.38	0
PPDPF	-0.27	-0.25	0.84	-0.4
SSR4	-0.37	0.41	-0.26	-0.32
ODF2L	0.29	0	0	-0.36
WDR74	0.35	-0.31	0	0
CD83	-0.57	-1.17	-1.21	1.68
GNLY	-1.41	-2.38	-2.34	-1.94
TIFA	0.36	-0.3	0	0
ATM	0.26	0	0	0
SOCS3	-0.34	0.5	-0.46	0
HLA-DPA1	-0.94	-2.04	-1.76	2.13
TSPYL1	0.28	0	0	0
FAM118A	0.26	0.26	-0.26	0
SESN1	0.29	0	0	0
CDK17	0.26	0	-0.25	0
NFKB2	0.27	-0.26	-0.3	0.29
IGKC	-1.94	-2	-1.98	-0.7
ABHD14B	0.26	0	-0.28	0
LINC00152	0.29	-0.43	-0.78	-0.36
ATP2B4	0.27	0	-0.32	-0.28
SAMHD1	0.28	0.47	-0.39	0.5
NABP1	0.25	-0.3	-0.3	0.75
USP3	0.28	0	0	0
CCNDBP1	0.25	0	-0.38	0
MZB1	-0.52	-0.64	-0.62	0
CENPC	0.26	0.49	0	0
CD99	-0.28	1.01	-0.78	-0.93
PPP1CB	0.27	-0.27	0.25	0
DNAJB9	0.27	0.51	-0.34	0
SSH2	0.25	-0.28	0	0
CCL4L2	-0.81	-1.76	-1.68	0
HLA-DPB1	-0.86	-1.79	-1.75	2.31
GZMH	-0.35	-0.85	-0.81	-0.74
CCL4	-1.03	-2.42	-2.35	0
RNF138	0.25	0	0	0
GNA15	0.27	-0.51	-0.41	0.61
GZMA	-0.45	-1.57	-1.52	-1.38
SYAP1	0.26	-0.28	-0.26	0
YIPF5	0.29	0.29	0	-0.3
TGFB1	0.27	-0.26	-0.54	0
IFNAR2	0.25	0	0	0
KLF2	0.3	1.02	-0.66	-0.56
CITED2	0.3	-0.36	-0.44	-0.4
DEDD2	0.26	-0.35	-0.32	0
NMB	0.26	0.28	0.36	0
BCL2A1	-0.68	-1.03	-0.97	1.51
MT2A	0.64	-0.36	-1.48	-0.5
MT1X	1.01	-0.73	-0.37	-0.47
CD74	-1.03	-3.18	-2.26	1.95
MAGEH1	0.38	-0.25	-0.35	-0.31
NEU1	0.25	-0.35	-0.35	0
MIR4435-2HG	0.29	-0.35	-0.26	-0.33
MMP1	0	2.94	-0.59	0
MMP3	0	2.66	0	0
CST1	0	2.39	0	0
SFRP4	0	2.29	0	0
IL24	0	1.61	0	0
CCL11	0	1.5	0	0
CHI3L1	0	1.4	0.53	0
COL11A1	0	1.37	0	0
COL10A1	0	1.34	0	0
ACTG2	0	1.2	0.28	0
ASPN	0	1.18	0	0
DIO2	0	0.99	0	0
ADAMTS2	0	0.94	0	0
ARF4	0	0.92	-0.35	-0.26
MMP13	0	0.9	0	0
WNT5A	0	0.89	0	0
EGFL6	0	0.85	0	0
PLPP4	0	0.85	0	0
CREB3L1	0	0.85	0.52	0
COL7A1	0	0.83	0	0
LOX	0	0.79	0	0
CPXM1	0	0.79	0.67	0
BMP1	0	0.76	0	0
ITGB5	0	0.75	0	0
TUBA1A	0	0.74	-1.5	0.26
FTH1	0	0.72	-0.5	0.77
NTM	0	0.72	0	0
GPM6B	0	0.72	0	0
GPC6	0	0.71	0	0
ADAMTS12	0	0.71	0	0
IL11	0	0.7	0	0
ADAM12	0	0.7	0	0
RGS3	0	0.69	-0.27	-0.28
CMTM3	0	0.69	-0.49	0
FIBIN	0	0.69	0	0
WNT2	0	0.68	0	0
KIAA1217	0	0.66	0.44	0
MSRB3	0	0.66	0	0
PTGDS	0	0.65	0	0
FMOD	0	0.65	0	0
TWIST2	0	0.65	0	0
OLFML2B	0	0.65	0	0
FKBP7	0	0.65	0	0
SPATS2L	0	0.64	0	0
CLMP	0	0.64	0	0
C1QTNF6	0	0.63	0	0
PODNL1	0	0.63	0	0
P3H1	0	0.62	0	0
ITGA11	0	0.62	0	0
CXCL6	0	0.62	0.36	0
CAPZB	0	0.61	-0.33	0
CHN1	0	0.61	-0.27	-0.25
GUCY1A3	0	0.6	0	0
SMIM3	0	0.6	-0.32	0
RPS27L	0	0.6	-0.6	0
SPON1	0	0.6	0	0
SH3PXD2B	0	0.59	0	0
COL16A1	0	0.59	0	0
LXN	0	0.59	0.64	0
MMD	0	0.59	0	0
SLC39A13	0	0.59	0	0
EPYC	0	0.59	0	0
SGCB	0	0.58	0	-0.25
VIM	0	0.58	-3.4	0.62
ILK	0	0.58	-0.39	0
RUNX1	0	0.58	0.26	0
WIPI1	0	0.58	0	0
NEXN	0	0.58	0	0
LRRC17	0	0.57	0	0
RP11-400N13	0	0.57	0	0
FNDC1	0	0.57	0	0
STEAP2	0	0.56	0.29	0
P3H4	0	0.56	0.37	0
SEC13	0	0.55	0	0
CEMIP	0	0.55	0	0
SRPX2	0	0.55	0	0
LRRC15	0	0.55	0	0
SEC31A	0	0.55	0	0
LOXL1	0	0.55	0	0
SLC16A3	0	0.54	-0.46	0.29
DSEL	0	0.54	0	0
GPX7	0	0.54	0.34	0
CNN2	0	0.54	0.48	0.33
PHLDA1	0	0.52	-0.61	-0.87
FLNA	0	0.52	-0.57	0
PMEPA1	0	0.51	0	0
MAGED2	0	0.51	-0.38	-0.42
PTGER3	0	0.51	0	0
DUSP1	0	0.51	-0.56	0
IKBIP	0	0.5	-0.3	0
GLMP	0	0.5	0	0
TMEM119	0	0.5	0	0
RGS4	0	0.5	0	0
SORBS3	0	0.5	0.38	-0.28
SLC39A7	0	0.49	0	0
MRGPRF	0	0.49	0	0
RAB2A	0	0.49	0.39	-0.3
AKR1B1	0	0.49	-0.29	0
C12orf57	0	0.49	-0.51	-0.85
CNN1	0	0.48	0	0
SNAI2	0	0.48	0.32	0
EDNRA	0	0.48	0	0
COL5A3	0	0.48	0	0
GAS1	0	0.48	0	0
FMO1	0	0.48	0	0
REXO2	0	0.48	-0.29	-0.52
IL1R1	0	0.47	0	0
FRMD6	0	0.47	0	0
C1orf122	0	0.47	0	0
CPZ	0	0.47	0	0
COX7A1	0	0.46	0	0
FBLIM1	0	0.46	0	0
CUTA	0	0.46	0	-0.44
NDN	0	0.46	0	0
TSPAN9	0	0.45	0.31	0
C1QTNF1	0	0.45	0	0
TSKU	0	0.45	0.29	0
AKR7A2	0	0.45	0	0
MME	0	0.45	0	0
GBP1	0	0.45	-0.29	0
C4orf48	0	0.45	-0.38	0
SHISA4	0	0.45	0.31	0
MYL6	0	0.44	-0.46	0.31
SSR2	0	0.44	0.28	-0.27
ENC1	0	0.44	0.54	0
TWSG1	0	0.44	0	0
WISP1	0	0.44	0	0
TTC3	0	0.44	0.29	0
P4HA1	0	0.43	0.3	0
CISD1	0	0.43	0.26	0
TDO2	0	0.43	0	0
SNHG18	0	0.43	0.26	0
MSC	0	0.43	0	0
PDLIM2	0	0.43	0	0
TMEM208	0	0.43	0	0
TMEM158	0	0.42	0	0
FARP1	0	0.42	0.27	0
TMED2	0	0.42	0.35	0
NID2	0	0.42	0	0
YIPF3	0	0.41	0.31	-0.28
TCEAL8	0	0.41	0	0
PAM	0	0.41	-0.27	-0.36
ST5	0	0.41	0.26	0
MORF4L1	0	0.41	-0.29	0
SEC11A	0	0.41	0	0
MAP1LC3A	0	0.41	-0.31	0
COLEC12	0	0.41	0	0
SLC39A14	0	0.41	0	0
DCBLD1	0	0.41	0	0
RNF144A	0	0.41	0	0
DNAJC15	0	0.41	-0.32	0
LPP	0	0.41	0	0
ITM2C	0	0.41	-0.64	-0.25
ITGA5	0	0.4	-0.33	0
BNC2	0	0.4	0	0
SH3PXD2A	0	0.4	0	0
SEC24D	0	0.4	0	0
MICAL2	0	0.4	0	0
FKBP14	0	0.4	0	0
TMEM263	0	0.4	0	-0.26
KIF26B	0	0.4	0	0
GOPC	0	0.39	0.27	0
SEC61B	0	0.39	-0.34	0.58
EMP3	0	0.39	-1.2	0
PLXDC1	0	0.39	0	0
TP53I13	0	0.39	0	0
MINOS1	0	0.38	-0.27	0
BCAT1	0	0.38	0	0
RRAD	0	0.38	0	0
DNAJB4	0	0.38	-0.3	0
MAP4	0	0.38	-0.26	0
GLT8D1	0	0.38	0	0
LINC00657	0	0.38	0.31	-0.25
RUNX2	0	0.37	0	0
P3H3	0	0.37	0	0
CD82	0	0.37	-0.39	-0.65
KIFAP3	0	0.37	0	0
CALM2	0	0.37	-0.31	0
LSAMP	0	0.37	0	0
DAP	0	0.37	0	0
LTBP2	0	0.37	0	0
MYH9	0	0.37	-0.35	0
DYNLT1	0	0.36	0.32	0
AIG1	0	0.36	0.32	0
C5orf15	0	0.36	0.28	0
SPOCK1	0	0.36	0	0
FZD1	0	0.36	1.21	0
CTSA	0	0.36	-0.32	-0.41
NDUFC2	0	0.36	0	0
ANKRD10	0	0.36	-0.3	0
SLC38A5	0	0.36	0	0
MYH10	0	0.36	0.34	0
INAFM1	0	0.36	0	0
ROBO1	0	0.36	0	0
FSTL3	0	0.36	0	0
UBTD1	0	0.36	0	0
EVA1A	0	0.36	0	0
P4HA3	0	0.36	0	0
TP53I3	0	0.35	0	0
RIN2	0	0.35	0	0
ZFP36L1	0	0.35	0.42	0
AP3S1	0	0.35	-0.37	0
UNC5B	0	0.35	0	0
SGIP1	0	0.35	0	0
ATP6V0E1	0	0.35	-0.27	0
C11orf24	0	0.35	0	0
ERLEC1	0	0.35	0.28	-0.27
MORF4L2	0	0.35	0	-0.26
PRR16	0	0.35	0	0
FAM195B	0	0.35	-0.28	0
SGCD	0	0.35	0	0
BPGM	0	0.34	0	0
MEIS2	0	0.34	0.3	0
TWIST1	0	0.34	0	0
PLEKHA5	0	0.34	1.02	0
TMEM167A	0	0.34	0	0
FGFR1	0	0.34	0.4	-0.26
VGLL3	0	0.34	0	0
TEAD1	0	0.34	0	0
NUCB2	0	0.34	0.36	-0.37
SEC23A	0	0.34	0	0
COL27A1	0	0.34	0	0
REEP3	0	0.34	0	0
TMEM47	0	0.33	0	0
DAPK3	0	0.33	0	0
DRAM1	0	0.33	0	0
GDF15	0	0.33	0.84	0
BAG2	0	0.33	0	0
IER3IP1	0	0.33	0	-0.28
FAT1	0	0.33	0.63	0
YIPF2	0	0.33	0	0
SURF4	0	0.33	-0.28	-0.37
SCG5	0	0.33	0	0
FOXF1	0	0.32	0	0
SERF2	0	0.32	-0.45	0
PCDH7	0	0.32	0	0
BICC1	0	0.32	0	0
NUCB1	0	0.32	0	0
MXRA7	0	0.32	0	0
ARHGAP1	0	0.32	0	0
MITF	0	0.32	0	0
EPDR1	0	0.32	0	0
FADS1	0	0.32	0	0
KRT10	0	0.32	0.45	-0.56
C1orf198	0	0.32	0	0
ST3GAL4	0	0.32	0.4	0
DUSP14	0	0.32	0	0
ARL2BP	0	0.32	0	0
TXNDC15	0	0.32	-0.3	0
HSPA1B	0	0.32	-0.79	0
ALDH1B1	0	0.32	0	0
AFAP1	0	0.32	0	0
AGAP2-AS1	0	0.32	0	0
HOXB2	0	0.32	0.44	0
ATP6AP2	0	0.32	0.26	0
BAMBI	0	0.32	0.26	0
NOX4	0	0.31	0	0
FBXO32	0	0.31	0.71	-0.38
FUCA2	0	0.31	0	0
SLC39A1	0	0.31	0.25	0
PDGFC	0	0.31	0	0
RBFOX2	0	0.31	0	0
TCEAL3	0	0.31	0	0
SUGCT	0	0.31	0	0
MOXD1	0	0.31	0.39	0
FAM20C	0	0.31	0	0
TENM3	0	0.31	0	0
FADS2	0	0.31	0	0
FAM20A	0	0.3	0	0
TCF12	0	0.3	0	0
NKD2	0	0.3	0	0
KRTCAP2	0	0.3	0.38	-0.39
MSX2	0	0.3	0	0
EDIL3	0	0.3	0	0
SEP15	0	0.3	0	-0.25
ZYX	0	0.3	-0.37	0.33
BMP4	0	0.3	0	0
CNRIP1	0	0.3	0	0
SEZ6L2	0	0.3	0	0
PDIA5	0	0.3	0	0
PPP2R4	0	0.3	0	0
PTOV1	0	0.3	0.25	0
SQSTM1	0	0.3	-0.76	0
SHC1	0	0.3	0	-0.25
LMO7	0	0.3	0.96	0
RAB1A	0	0.3	0	0
CDKN1C	0	0.3	0.35	0
FKBP11	0	0.3	-0.39	-0.39
ID4	0	0.3	0	0
CASC4	0	0.3	0	0
VKORC1	0	0.29	0	0
SLC35B2	0	0.29	0.35	0
CYP7B1	0	0.29	0	0
EVA1B	0	0.29	0	0
ZNF469	0	0.29	0	0
LRRC59	0	0.29	0.4	0
GOLGA2	0	0.29	0	0
SEC61A1	0	0.29	0.36	0
MARVELD1	0	0.29	0	0
STAT2	0	0.29	0	0
CNIH1	0	0.29	0	-0.27
CCL26	0	0.29	0.26	0
TMEM258	0	0.29	0	0
KIAA0930	0	0.29	0	0
PAPPA	0	0.29	0	0
SCARF2	0	0.29	0	0
ARL3	0	0.29	0.29	0
TRIO	0	0.29	0	0
CA12	0	0.29	0.39	0
SLC39A6	0	0.29	0	0
KANK2	0	0.29	0	0
TMEM204	0	0.29	0	0
NEK6	0	0.28	0	0
LAMP1	0	0.28	0.72	-0.51
ROR2	0	0.28	0	0
KCNQ1OT1	0	0.28	0.27	0
GUCY1B3	0	0.28	0	0
PDZRN3	0	0.28	0.47	0
ETV1	0	0.28	0	0
STRA6	0	0.28	0	0
GINM1	0	0.28	0	0
GLIS3	0	0.28	0	0
GFPT2	0	0.28	0	0
SMPD1	0	0.28	0	0
C1orf123	0	0.28	0	0
CNPY4	0	0.28	0	0
FAM127C	0	0.28	0	0
OST4	0	0.28	0	0
SLC44A1	0	0.28	0.28	0
FAM63B	0	0.28	0	0
G6PC3	0	0.27	0	0
TMSB10	0	0.27	-0.5	0.94
SCT	0	0.27	0	0
PRAF2	0	0.27	0	0
TRAM1	0	0.27	0	0
DNM1	0	0.27	0	0
ASAP1	0	0.27	0	0
RER1	0	0.27	0	0
HEPH	0	0.27	0	0
TMEM219	0	0.27	0	0
TGFB3	0	0.27	0	0
SGCE	0	0.27	0.69	0
RSPO3	0	0.27	0	0
CDK2AP1	0	0.27	0.29	0
ZNF428	0	0.27	0	0
HSPA5	0	0.27	0.48	-0.31
CFI	0	0.27	0	0
COPZ2	0	0.27	0	0
MAPKAP1	0	0.27	0	0
C1QTNF3	0	0.27	0	0
FAM229B	0	0.27	0	0
GULP1	0	0.27	0	0
VMP1	0	0.26	0.34	0
APBB2	0	0.26	0	0
LPAR1	0	0.26	0	0
OMD	0	0.26	0	0
ZEB1	0	0.26	-0.31	0
WDR86	0	0.26	0	0
SAR1A	0	0.26	0	0
OLFM2	0	0.26	0	0
FOXP1	0	0.26	-0.43	0
WDR45	0	0.26	0	0
TMED1	0	0.26	0	0
PGM3	0	0.26	0	0
FEZ1	0	0.26	0	0
CTSO	0	0.26	0	0
PTS	0	0.26	0.25	0
BDH2	0	0.26	0	0
JTB	0	0.26	0	-0.35
NDUFA4	0	0.26	0.26	0
EIF4E2	0	0.26	0	0
HNMT	0	0.26	0.26	0
UBE2E3	0	0.26	0.27	-0.29
SPG21	0	0.26	0	0
VSTM4	0	0.26	0	0
MANF	0	0.26	0	0
JOSD2	0	0.25	0	0
DSG2	0	0.25	0.3	0
TMEM9	0	0.25	0.5	-0.26
TMEM30A	0	0.25	0	0
CPQ	0	0.25	-0.31	0
NXN	0	0.25	0	0
PLPPR2	0	0.25	0	0
STT3A	0	0.25	0	0
RAB23	0	0.25	0	0
IFITM2	0	0.25	-1.98	0
ARMCX3	0	0.25	-0.25	0
IRS1	0	0.25	0	0
F2R	0	0.25	-0.29	-0.28
MTCH1	0	0.25	0.25	0
IFT20	0	0.25	0	0
RSU1	0	0.25	0	0
DCBLD2	0	0.25	0.34	0
SNX7	0	0.25	0	0
OSMR	0	0.25	0	0
PRKX	0	-0.25	0	0
CHCHD7	0	-0.25	0	0
FAM110A	0	-0.25	0	0.53
CD320	0	-0.25	0	-0.3
NTRK2	0	-0.25	0.35	0
LBR	0	-0.25	0	0
MKNK2	0	-0.25	0.34	0
BCL2L11	0	-0.25	0	0.36
TNS4	0	-0.25	0.53	0
CENPM	0	-0.25	0.29	0
ST6GAL1	0	-0.25	0	0
XRCC6	0	-0.26	0.36	0
MTSS1	0	-0.26	0.27	0
PVT1	0	-0.26	0.36	0
HSH2D	0	-0.26	0	0
SNRPG	0	-0.26	0.27	0
PLEKHA2	0	-0.26	-0.25	0
MAST4	0	-0.26	-0.29	-0.27
SIAH2	0	-0.26	0.38	0
ATP8A1	0	-0.26	-0.26	0
MARCH3	0	-0.26	0	0
C1orf162	0	-0.26	0	0.78
RALY	0	-0.26	0.54	0
TNIP3	0	-0.26	-0.26	0
SERBP1	0	-0.26	0.29	0
OSER1	0	-0.26	0	0
NT5C3A	0	-0.27	0	0
TESC	0	-0.27	-0.25	0
TSC22D4	0	-0.27	0	0
ADK	0	-0.27	0	0
ANP32E	0	-0.27	-0.25	0
CA2	0	-0.27	0.49	0.34
CD79B	0	-0.27	-0.26	0
DOCK2	0	-0.27	-0.28	0
EWSR1	0	-0.27	0	0
ARHGAP25	0	-0.27	0	0
HNRNPA2B1	0	-0.27	-0.37	0
HNRNPA3	0	-0.27	0.3	0
LYSMD2	0	-0.28	0	0
TOX	0	-0.28	-0.27	0
SNHG12	0	-0.28	0	0
FLI1	0	-0.28	-0.34	0
PAK2	0	-0.28	0.26	0
ADAM8	0	-0.28	-0.26	0.52
RPS24	0	-0.28	0.26	0
RP11-325F22	0	-0.28	-0.26	0
LSR	0	-0.28	0.69	-0.25
MOB1A	0	-0.28	-0.28	0.38
ELMO1	0	-0.28	-0.3	0
MCM7	0	-0.28	0.78	0
TRABD	0	-0.28	0	0
PTK2B	0	-0.28	0	0
PPP1CA	0	-0.29	0.36	0
AD000671	0	-0.29	-0.27	0
SUB1	0	-0.29	-0.27	0
H3F3A	0	-0.29	0.51	0.25
EIF4A2	0	-0.29	0.26	-0.43
HSPA9	0	-0.3	0	0
NCKAP1L	0	-0.3	-0.28	0.3
RPS5	0	-0.3	0.37	0
RBM39	0	-0.3	0.3	0
RBMX	0	-0.3	-0.28	0
TSEN54	0	-0.3	0	0
CCT3	0	-0.3	0.34	0
BRD2	0	-0.3	-0.35	0
MCM5	0	-0.3	0.28	0
RPA3	0	-0.3	0.54	0
UTRN	0	-0.3	-0.33	0
PCBP1	0	-0.3	0	0
TNFSF14	0	-0.3	0	0
RPL35	0	-0.3	0.27	0
HMHA1	0	-0.3	-0.26	0
FGL2	0	-0.31	-0.32	0.48
CCDC69	0	-0.31	-0.3	0
STARD7	0	-0.31	0	0
PARVG	0	-0.31	-0.29	0
INPP5D	0	-0.31	-0.29	0
GCHFR	0	-0.31	0	0
PRRG4	0	-0.31	0.63	0
FAM60A	0	-0.31	0.72	0.44
ARHGAP30	0	-0.31	-0.28	0
SNHG8	0	-0.31	0.35	0
FRMD4B	0	-0.31	0	0
JAML	0	-0.31	-0.3	0.61
HPGD	0	-0.32	-0.26	0
LAT2	0	-0.32	-0.3	0.28
HNRNPU	0	-0.32	0.25	0
PARP1	0	-0.32	0.42	0
SH3BP1	0	-0.32	-0.32	0
EFHD2	0	-0.32	-0.39	0.32
SPN	0	-0.32	-0.31	0
DIAPH1	0	-0.33	-0.3	0
EIF5	0	-0.33	0	0
ANAPC16	0	-0.33	0	-0.29
ITGB7	0	-0.33	-0.3	0
HNRNPA1	0	-0.33	-0.36	0
SNRPB	0	-0.33	0.31	0
NCF4	0	-0.33	-0.3	0
ST8SIA4	0	-0.33	-0.29	0.65
NCL	0	-0.33	0.52	-0.3
CD38	0	-0.33	-0.3	0
TSPAN14	0	-0.33	0	0
ZFP36	0	-0.33	-0.8	0
RPL31	0	-0.33	0.48	0
TIPARP	0	-0.33	0.38	0
SFPQ	0	-0.33	0.26	0
BUB3	0	-0.33	-0.34	-0.37
RAN	0	-0.34	0.73	0
CD58	0	-0.34	-0.34	0.32
HNRNPF	0	-0.34	0	0
CASP1	0	-0.35	-0.35	0
CDC42SE1	0	-0.35	0	0
TMPO	0	-0.35	0.47	0
SEC14L1	0	-0.35	-0.33	0
HMGN1	0	-0.35	0.28	0
LYPD3	0	-0.35	1.52	0
SLC3A2	0	-0.35	0.26	0
BAZ1A	0	-0.35	-0.34	0.34
H2AFV	0	-0.35	-0.44	0
DDX21	0	-0.36	-0.28	0
HTATIP2	0	-0.36	-0.27	0
RAD21	0	-0.36	0.48	0
SYTL1	0	-0.36	0.34	0
LMNB1	0	-0.36	-0.29	0
SRSF2	0	-0.36	-0.27	0
ZFAS1	0	-0.36	0.42	0
APOBEC3C	0	-0.36	-0.3	-0.29
KPNA2	0	-0.36	-0.38	0
STIP1	0	-0.36	-0.33	0
SIT1	0	-0.36	-0.35	-0.3
CD70	0	-0.37	-0.37	0.38
RPS2	0	-0.37	0.43	0
SMDT1	0	-0.37	0.28	0
ANP32B	0	-0.37	0.32	0
RALGDS	0	-0.37	-0.3	0
C10orf54	0	-0.37	-0.3	0
ZC3H12A	0	-0.37	0.34	0
PLP2	0	-0.37	0.31	-0.38
SIRPG	0	-0.37	-0.35	-0.31
OSTF1	0	-0.38	-0.31	0.41
ENSA	0	-0.38	0.31	0
H3F3B	0	-0.38	-0.32	0
SASH3	0	-0.38	-0.37	0
MSN	0	-0.39	-0.63	0
SELT	0	-0.39	0	0
SRSF5	0	-0.39	-0.3	0
CNBP	0	-0.39	0.86	-0.32
RPL8	0	-0.39	0.25	0
RASGEF1B	0	-0.4	-0.3	0.26
ABI3	0	-0.4	-0.38	0
ARL6IP1	0	-0.4	0.67	0
MYO1G	0	-0.4	-0.38	0.56
IRF4	0	-0.4	-0.38	0.64
AKIRIN2	0	-0.4	-0.28	0
TPD52	0	-0.4	0.52	0
PRR13	0	-0.41	-0.42	0
ITSN2	0	-0.41	-0.31	0
HSP90AB1	0	-0.41	-0.43	0
AHSA1	0	-0.42	-0.33	0
NEDD9	0	-0.42	0.3	-0.35
PELI1	0	-0.42	-0.39	0
RBKS	0	-0.43	-0.37	0
CKS2	0	-0.43	-0.32	0
NFE2L2	0	-0.44	0.39	0.32
SP140	0	-0.44	-0.41	0
STX11	0	-0.44	-0.31	0.55
NCF1	0	-0.44	-0.28	0
FERMT3	0	-0.44	-0.42	0
GRB2	0	-0.44	-0.28	0.31
IGFLR1	0	-0.45	-0.42	0.28
RCSD1	0	-0.45	-0.43	0
SEC11C	0	-0.45	0.3	0
ARRB2	0	-0.45	-0.29	0.61
UPP1	0	-0.45	-0.53	0
STXBP2	0	-0.45	-0.3	0
ARF6	0	-0.46	0.33	0
PNP	0	-0.46	-0.31	0
SNHG15	0	-0.47	-0.4	0.62
SLC25A5	0	-0.47	0.34	0
PMAIP1	0	-0.48	0.42	0
RBM8A	0	-0.48	0.42	0
HIST1H1C	0	-0.49	1.03	0
CYBA	0	-0.49	-0.55	0.45
PTPN6	0	-0.49	-0.3	0.34
ABLIM1	0	-0.5	0.35	-0.42
INSIG1	0	-0.5	-0.27	1.13
APOBEC3G	0	-0.5	-0.47	-0.32
NFKBID	0	-0.51	-0.29	0.86
H2AFZ	0	-0.51	-0.38	0
MTHFD2	0	-0.53	-0.46	0.68
IVNS1ABP	0	-0.54	-0.35	0
TPM3	0	-0.54	-0.26	0.47
KDM6B	0	-0.54	-0.39	0.38
HN1	0	-0.54	0.35	0
SLA2	0	-0.55	-0.53	-0.45
SERPINB1	0	-0.56	0.8	1.35
TSTD1	0	-0.56	0.29	0
NAMPT	0	-0.56	-0.65	0.5
AREG	0	-0.57	-0.71	1.08
SH3BGRL3	0	-0.57	-0.77	0
PTTG1	0	-0.59	-0.3	0
FAM49B	0	-0.6	-0.34	0.36
TNF	0	-0.61	-0.37	0
CD8B	0	-0.61	-0.58	-0.53
MIR155HG	0	-0.61	-0.7	1.29
RAB11FIP1	0	-0.62	0.81	0.47
YWHAZ	0	-0.64	0.62	0
CFLAR	0	-0.64	-0.53	0.82
CXCR6	0	-0.65	-0.62	-0.54
FKBP4	0	-0.65	0.3	0
HIST1H4C	0	-0.66	-0.54	-0.52
PIM3	0	-0.66	0.26	0.55
AQP3	0	-0.68	1.34	-0.46
SLC7A5	0	-0.68	-0.44	0
