CD4Tconv	Fibroblasts	Mono/Macro	Malignant	Plasma	Pericytes	CD8Tex	DC	Tprolif	B	Mast	Endothelial	Treg
SEMA3D	0	0.32	0	0	0	0	0	0	0	0	0	0	0
ASGR1	0	0.32	0.26	0	0	0	0	0	0	0	0	0	0
SHE	0	0.32	0	0	0	0	0	0	0	0	0	0.27	0
LINC01197	0	0.32	0	0	0	0.37	0	0	0	0	0	0	0
THSD7A	0	0.31	0	0	0	0	0	0	0	0	0	0.28	0
ARAP3	0	0.3	0	0	0	0	0	0	0	0	0	0.3	0
FAM162B	0	0.3	0	0	0	1.25	0	0	0	0	0	0	0
TSPAN18	0	0.29	0	0	0	0	0	0	0	0	0	0.3	0
TSPAN12	0	0.29	0	0	0	0	0	0	0	0	0	0.27	0
RP11-536O18	0	0.29	0	0	0	0	0	0	0	0	0	0.4	0
GRAP	0	0.29	0	0	0	0	0	0	0	0	0	0	0
GPM6A	0	0.29	0	0	0	0	0	0	0	0	0	0	0
LRRC70	0	0.28	0	0	0	0	0	0	0	0	0	0.28	0
STAB2	0	0.28	0	0	0	0	0	0	0	0	0	0	0
ZNF385D	0	0.28	0	0	0	0	0	0	0	0	0	0.48	0
HSPA12B	0	0.28	0	0	0	0	0	0	0	0	0	0.33	0
FGD5	0	0.28	0	0	0	0	0	0	0	0	0	0.31	0
KBTBD11	0	0.27	0	0	0	0	0	0	0	0	0	0	0
MSMP	0	0.27	0	0	0	0	0	0	0	0	0	0	0
FRY	0	0.26	0	0	0	0	0	0	0	0	0	0.36	0
EXOC3L1	0	0.26	0	0	0	0	0	0	0	0	0	0.29	0
RADIL	0	0.25	0	0	0	0	0	0	0	0	0	0	0
CNTNAP3B	0	0.25	0	0	0	0	0	0	0	0	0	0.31	0
GDF10	0	0.25	0	0	0	0	0	0	0	0	0	0	0
LINC01558	0	0.25	0	0	0	0	0	0	0	0	0	0	0
STOM	0	0.82	-0.45	-0.41	-0.75	1.02	0	-0.39	0	-0.68	-0.55	0.65	-0.35
PLCB4	0	0.28	0	0	0	0	0	0	0	0	0	0.31	0
PRKAR1B	0	0.48	0	0.31	0	0	0	0	0	0	0	0	0
KIAA0355	0	0.33	0	0	0	0	0	0	0	0	0	0.38	0
PLXNA2	0	0.33	0	0	0	0	0	0	0	0	0	0.53	0
RALGAPA2	0	0.3	0	0	0	0	0	0	0	0	0	0.26	0
SLCO2A1	0	0.33	0	0.27	0	0	0	0	0	0	0	1.12	0
LAYN	0	0.62	-0.42	-0.33	-0.42	0	0.36	-0.35	0.31	-0.41	-0.39	0	0.88
TRIOBP	0	0.45	0	0	0	0	0	0	0	0	0	0.57	0
CRACR2B	0	0.34	0	0.93	0	0	0	0	0	0	0	0	0
PLA1A	0	0.26	0	0	0	0	0	0	0	0	0	0.44	0
TSPAN15	0	0.38	0	0	0	0.54	0	0	0	0	0	0.42	0
MMRN2	0	0.39	0	0	0	0	0	0	0	0	0	0.63	0
CYYR1	0	0.33	0	0	0	0	0	0	0	0	0	0.88	0
TNFAIP1	0	0.45	0	0	0	0	0	0	0	0	0	0.4	0
PARD6G	0	0.27	0	0	0	0	0	0	0	0	0	0	0
OLFML2A	0	0.36	0	0	0	0.75	0	0	0	0	0	0.28	0
PTPN14	0	0.39	0	0.38	0	0	0	0	0	0	0	0.33	0
NOTCH4	0	0.26	0	0	0	0	0	0	0	0	0	0.43	0
BTBD3	0	0.29	0	0	0	0	0	0	0	0	0	0	0
LY96	0	0.5	0.67	-0.27	0.26	0	-0.27	0	0	0	0	0.31	0
SMAGP	0	0.44	0	0.41	0	0	0	0	0	0	0	0.43	0
IL3RA	0	0.29	0.25	0	0	0	0	0	0	0	0	0.71	0
ACKR3	0	0.38	0	0	0	0	0	0	0	0	0	0	0
FAM43A	0	0.28	0	0	0	0	0	0	0	0	0	0.35	0
TMOD1	0	0.3	0	0	0	0	0	0	0	0	0	0	0
MPDZ	0	0.25	0	0	0	0	0	0	0	0	0	0.32	0
LINC01116	0	0.26	0	0	0	0	0	0	0	0	0	0.27	0
GIMAP6	0	0.25	0	0	0	0	0	0	0	0	0	0.46	0
LIMS1	0	0.72	0.73	-0.38	-0.67	0.3	0	0	0	-0.51	0.37	0	0
FLNB	0	0.51	0	0	-0.26	0	0	0	0	0	0	0.59	0
STON2	0	0.29	0	0	0	0	0	0	0	0	0	0	0
PLA2G4C	0	0.27	0	0	0	0	0	0	0	0	0	0	0
TMOD2	0	0.26	0	0	0	0	0	0	0	0	0	0	0
HEY1	0	0.57	0	0.65	0	0	0	0	0	0	0	0.49	0
ADAMTS4	0	0.34	0	0	0	1.04	0	0	0	0	0	0.51	0
CEP68	0	0.37	0	0	0	0	0	0	0	0	0	0.31	0
BCAR1	0	0.34	0	0	0	0	0	0	0	0	0	0.3	0
PARVB	0	0.54	0.27	-0.3	0	0	0	0	0	0	0.5	0.54	0
EDN1	0	0.97	0	0.3	0	0	0	0	0	0	0	0.63	0
TSPAN5	0	0.58	-0.31	-0.28	-0.29	0	0.26	-0.29	0.26	-0.29	-0.3	0	0.43
CPNE8	0	0.36	0	0	0	0	0	0	0	0	0	0.48	0
EFNB2	0	0.38	0	0	0	0	0	0	0	0	0	0.28	0
YES1	0	0.45	-0.26	0.31	0	0	0	-0.26	0	-0.27	0	0.43	0
SIRPA	0	0.37	0.86	0	0	0	0	0.31	0	0	0	0	0
GUK1	0	0.49	0	0	-0.68	0	0	-0.26	0	-0.32	-0.29	0.63	0
MYL12B	0	0.49	-0.42	0.74	-1.76	0	0	0	0	-0.42	0	0.56	0
TEAD2	0	0.38	0	0	0	0.36	0	0	0	0	0	0.36	0
NTAN1	0	0.46	0	0	0	0	0	0	0	0	0	0.27	0
ARHGAP31	0	0.29	0	0	0	0	0	0.36	0	0	0.27	0.36	0
MANSC1	0	0.26	0	0.95	0	0	0	0	0	0	0	0.36	0
PEAK1	0	0.29	0	0	0	0.5	0	0	0	0	0	0.27	0
PPM1F	0	0.25	0	0	0	0	0	0	0	0	0	0.41	0
PXN	0	0.39	0	0	0	0	0	0	0	0	0	0.4	0
CDC42BPA	0	0.33	0	0	0	0.28	0	0	0	0	0	0.28	0
LDHB	0	-0.76	-0.79	-0.4	-1.02	0	0.36	-0.48	0	-0.46	0	-0.27	0
RGL2	0	0.35	0	0	0	0	0	0	0	0	0	0.25	0
FAM65A	0	0.34	0	0	0	0	0	0	0	0	0	0.35	0
FDPS	0	0.55	-0.3	0.4	-0.34	0	0.31	0	0.31	-0.27	0	0.61	0
ECE1	0	0.45	-0.34	0	-0.34	0.44	0	0	0	0	0	0.74	0
NOD1	0	0.27	0	0	0	0	0	0	0	0	0	0.29	0
CSGALNACT1	0	0.27	0	0	0	0	0	0	0	0	0	0.37	0
MLLT4	0	0.32	0	0.34	0	0	0	0	0	0	0	0.32	0
ADAM10	0	0.51	0	0	-0.32	0	0	0	0	0	0	0.3	0
PALMD	0	0.42	0	0.39	0	0	0	0	0	0	0	0.74	0
TP53I11	0	0.37	0	0	0	0	0	0	0	0	0	0.33	0
SNTB2	0	0.33	0	0	0	0	0	0	0	0	0	0.42	0
MAPK3	0	0.32	0	0	0	0	0	0	0	0	0	0.26	0
CASC15	0	0.25	0	0	0	0	0	0	0	0	0	0.26	0
ARHGEF12	0	0.3	0	0	0	0.28	0	0	0	0	0	0.44	0
MCTP1	0	0.49	0.28	0	0	0	0	0	0	0	0.27	0.62	0
RP11-382A20	0	0.32	0	0	0	0	0	0	0	0	0	0.38	0
FAM107A	0	0.34	0	0	0	0	0	0	0	0	0	0.29	0
SNAI1	0	0.47	0.62	0	0	0	0	0	0	0	0	0.43	0
PIEZO1	0	0.33	0	0	0	0	0	0	0	0	0	0.3	0
SOCS2	0	0.33	0	0	0	0.33	0	0.34	0	0	0	0.52	0
SOX7	0	0.32	0	0	0	0	0	0	0	0	0	0.41	0
HAPLN3	0	0.36	0	0	-0.28	0.29	0	0	0	-0.26	0	0.5	0
LTC4S	0	0.41	0	0	0	0	0	0	0	0	2.4	0	0
PNPLA2	0	0.54	0	0.8	-0.32	0	0	0	0	0	0	0	0
AKAP2	0	0.25	0	0	0	0	0	0	0	0	0.64	0.42	0
ADD1	0	0.41	0	0	-0.32	0	0	0	0	0	0	0	0
PEPD	0	0.47	0.26	0	-0.33	0	0	0	0	0	0	0	0
TMEM205	0	0.43	0	0.29	0	0	0	0	0	0	0	0	0
ARL15	0	0.32	0	0	0	0	0	0	0	0	0	0.38	0
TANC1	0	0.28	0	0	0	0	0	0	0	0	0	0.27	0
DOCK5	0	0.26	0	0	0	0	0	0	0	0	0	0	0
FNBP1L	0	0.25	0	0.28	0	0	0	0	0	0	0	0.34	0
APOL3	0	0.28	0	0	0	0	0	0	0	0	0	0	0
ZFHX3	0	0.33	0	0	0	0.38	0	0	0	0	0	0	0
DOCK1	0	0.25	0	0	0	0	0	0	0	0	0	0.31	0
SLC38A2	0	0.51	-0.31	0.39	-0.61	0	0	0	0	-0.49	-0.27	0.29	0
NOTCH1	0	0.26	0	0	0	0	0	0	0	0	0	0.34	0
PLA2G16	0	0.31	-0.27	-0.35	0	0	0.31	0	0	-0.34	0	0.28	0
CTTNBP2NL	0	0.28	0	0	0	0	0	0	0	0	0	0.39	0
SLC41A1	0	0.28	0	0	0	0	0	0	0	0	0	0	0
MID1	0	0.27	0	0	0	0	0	0	0	0	0	0	0
FZD6	0	0.3	0	0.29	0	0	0	0	0	0	0	0.3	0
CFL2	0	0.3	0	0	0	0.31	0	0	0	0	0	0	0
MAP3K11	0	0.32	0	0	0	0	0	0	0	0	0	0.4	0
SH3GL1	0	0.36	0	0	0	0	0	0	0	0	0	0.25	0
BMPR2	0	0.27	0	0	0	0	0	0	0	0	0	0.64	0
FEZ2	0	0.36	0	0	-0.3	0	0	0	0	0	0	0.37	0
DHODH	0	0.26	0	0	0	0	0	0	0	0	0	0	0
SIN3B	0	0.31	0	0	0	0	0	0	0	0	0	0	0
SRP14	0	0.41	-0.45	0	-1.23	0	0	0	0	-0.31	0	0.42	0
HOMER3	0	0.27	0	0	0	0	0	0	0	0	0	0	0
MCFD2	0	0.39	0	0	0	0	0	0	0	0	0	0.3	0
RTKN	0	0.26	0	0	0	0	0	0	0	0	0	0	0
YPEL2	0	0.32	0	-0.27	-0.26	0	0	0	0	0	0	0.42	0
MACF1	0	0.38	0	-0.26	-0.6	0	0	0	0	-0.4	0	0.51	0
NARF	0	0.4	0	0	-0.26	0	0.25	0	0	0	0	0	0
NCKAP1	0	0.27	0	0.29	0	0	0	0	0	0	0	0.36	0
HDAC7	0	0.29	-0.26	0	-0.28	0	0	-0.26	0	0.3	0	0.46	0.25
SLC44A2	0	0.33	-0.34	0	-0.37	0	0	-0.28	0	0.32	0	0.39	0
IFT43	0	0.31	0	0.25	0	0	0	0	0	0	0	0	0
GNS	0	0.32	0.67	0	-0.28	0	0	0	0	0	0.7	0.44	0
NFATC1	0	0.46	0	0	-0.31	0	0	0	0	0.43	0.49	0	0
ABCG1	0	0.28	0	0	-0.27	0	0	0	0	0	0	0.29	0
TMEM120A	0	0.41	0	0.64	-0.27	0	0	0	0	0	0	0	0
ROCK2	0	0.26	0	0	0	0	0	0	0	0	0	0.3	0
VAMP3	0	0.35	0	0	-0.31	0	0	0	0	0	0	0.3	0
PGF	0	0.32	0	0	0	0.76	0	0	0	0	0	0.46	0
SCNN1B	0	0.25	0	0.27	0	0	0	0	0	0	0	0	0
HIP1	0	0.26	0	0	0	0.35	0	0	0	0	0	0.26	0
SLC43A3	0	0.27	0.45	0	0	0	0	0	0	0	0.47	0	0
ARHGAP17	0	0.28	0	0	0	0.25	0	0	0	0.35	0	0	0
SLC27A3	0	0.32	0	0	0	0	0	0	0	0	0	0	0
TSPAN2	0	0.37	0	0	0	0	0	0	0	0	0	0	0
YWHAH	0	0.36	0.67	-0.28	-0.78	0	0	0.26	0.38	0.36	-0.54	0.52	0
SMYD2	0	0.39	0	0	0	0	0	0	0	0	0	0	0
MAP4K2	0	0.27	0	0	0	0	0	0	0	0.43	0	0	0
SPTLC2	0	0.26	0	0	0	0	0	0	0	0	0	0.29	0
POLR2L	0	0.43	0	-0.33	-0.58	0	0	0	0	-0.3	0	0.25	0
ELOVL1	0	0.39	0	0	-0.45	0.31	0	0	0	0	0	0.35	0
ACKR1	0	0.39	0	0	0	0	0	0	0	0	0	1.16	0
ATF6	0	0.3	0	0	0	0	0	0	0	0	0	0	0
RND1	0	0.32	0	0.5	0	0	0	0	0	0	0	0.39	0
LUZP1	0	0.29	0	0	-0.34	0	0	0	0	-0.31	0	0.41	0
MIDN	0	0.43	0.26	0.48	-0.51	0	-0.3	0	0	0	0	0.35	-0.31
TMEM50A	0	0.35	0	-0.45	-0.87	0	0	0	0	-0.3	0	0	0.31
KBTBD2	0	0.26	0	0	0	0	0	0	0	0	0	0.49	0
ERICH1	0	0.32	0	0	-0.29	0	0	0	0	0	0	0	0
CNST	0	0.31	0	0	-0.31	0	0	0	0	0	0	0.32	0.36
BCL7C	0	0.32	0	0	0	0	0	0	0	0	0	0	0
MYO1C	0	0.31	0	0	0	0.32	0	0	0	0	0	0.35	0
NUDT16	0	0.26	0	0	0	0	0	0	0	0	0	0	0
LIMS2	0	0.29	0	0	0	0	0	0	0	0	0	0.51	0
CDC25B	0	0.33	0	0.31	0	0	0	0	0.62	0	0	0.36	0
LMBR1	0	0.28	0	0	0	0	0	0	0	0	0	0.3	0
RFK	0	0.26	0	0	0	0	0	0	0	0	0	0	0
SPTAN1	0	0.4	-0.3	-0.26	-0.62	0	0	-0.35	0	0	0	0.29	0
GNAS	0	0.45	0	0.29	-0.73	0	0	0	0	0	0	0.59	0
WASF2	0	0.32	-0.29	0.69	-0.78	0	0	-0.26	0	0	-0.3	0.37	0
HEG1	0	0.29	0	-0.27	-0.29	0	0	-0.26	0	-0.25	0	0.79	0
RALB	0	0.25	0	0	-0.26	0	0	0	0	0	0.35	0.27	0
PIK3R3	0	0.26	0	0.26	0	0	0	0	0	0	0	0.35	0
TEX264	0	0.31	0	0	-0.27	0	0	0	0	0	0	0.27	0
CAPNS1	0	0.3	0	0	-0.38	0	0	0	0	-0.26	0	0.43	0
SYNE1	0	0.26	-0.28	-0.35	-0.3	0	0	-0.3	0	0.36	0	0	0
SPSB1	0	0.28	0	0	0	0	0	0	0	0	0	0	0
HSD17B12	0	0.33	0	0	0	0	0	0	0	0	0.56	0.27	0
CSNK1E	0	0.26	0	0	0	0.27	0	0	0	0	0	0.28	0
PDCD6IP	0	0.3	0	0	-0.43	0	0	0	0	0	0	0	0
NFAT5	0	0.33	0.28	-0.28	-0.46	0	0	0	0	0	0.3	0	0
C5orf24	0	0.26	0	0	-0.3	0.34	0	0	0	0	0	0.26	0
SIGIRR	0	0.25	0	-0.29	-0.44	0	0	0	0	-0.37	0	0.31	0
ANXA6	0	-0.51	-0.35	-0.84	-0.59	0.51	0.38	0.4	0.33	0.37	0	-0.41	0.48
IFI27L2	0	-0.35	0	-0.34	-0.37	0	0.29	-0.35	0	-0.25	0	-0.26	0
ANXA11	0	-0.37	-0.26	0.28	-0.84	0	0	0	0	0	0.36	-0.37	0.34
ENOSF1	0	0.28	0	0	0	0	0	0	0	0	0	0	0
KTN1	0	0.28	0	0.28	-0.78	0	0	0	0	0	0	0.54	0
SSFA2	0	0.25	0	0.36	-0.26	0	0	0	0	0	0	0.36	0
PCBP2	0	0.28	0	0.25	-0.92	0	0	0	0	0.35	0	0.36	0
TMEM87B	0	0.26	0	0	0	0	0	0	0	0	0	0	0
TCTN3	0	0.52	0	0	0	0	0	0.35	0	0	0	0	0
REEP5	0	0.29	-0.26	-0.29	0	0.29	0	0	0	-0.3	-0.3	0	0
MYL6B	0	0.27	-0.3	0.51	-0.28	0	0	0	0	-0.29	0	0	0
EBPL	0	0.27	-0.3	0.31	-0.33	0	0	-0.27	-0.26	-0.28	0	0	0
SERINC3	0	0.28	-0.25	0.36	-0.54	0.28	0	-0.28	0	0	0	0.34	0
TMOD3	0	0.25	0	-0.26	-0.56	0	0	0	0	-0.28	0.76	0.29	0
CASP4	0	0.26	0.28	-0.44	-0.4	0	0.28	0	0	0	0	0	0.26
CCDC25	0	0.25	0	0	-0.26	0	0	0	0	0	0	0	0
EPN1	0	0.27	0	0	-0.28	0	0	0	0	0	0	0.29	0
RAB5C	0	0.28	0.36	0	-0.73	0	0	0	0	0	0	0.26	0
GSDMD	0	0.27	0	0	-0.37	0	0	0	0	0	0	0	0
OCIAD1	0	0.25	-0.37	0.26	-0.43	0	0	0	0	0	0	0	0
ENPP2	0	0.27	0.35	0.29	0	0	0	0	0	0	0	0.58	0
TSTA3	0	0.32	-0.28	0.27	-0.29	0	0	0	0	0	0	0	0
NUDT1	0	-0.3	0.45	0.34	-0.39	0	0.62	0	0.65	0	0	-0.34	0
CTNNB1	0	0.26	0.41	-0.27	-0.68	0	0	0	0	0	0	0.25	0
CARHSP1	0	0.27	-0.4	0.45	-0.5	0	0.42	-0.36	0.6	0.27	0	0.42	0
GUSB	0	0.29	0.3	0.33	0	0	0	0	0	0	0	0	0
DDX17	0	0.28	-0.29	-0.26	-0.6	0	0	0	0	0	0	0.38	0
CTD-3252C9	0	0.31	0	-0.27	-0.34	0	0	0	0	-0.37	1	0.29	0
CSF3	0	0.57	0.34	0	0	0	0	0	0	0	0	0.57	0
TMEM243	0	-0.31	-0.27	-0.29	0	0	0	0	0	0.76	-0.33	0	0
CCDC85B	0	0.29	-0.39	-0.4	-0.73	0	0	-0.45	0	-0.38	0	0.9	0
PAK1	0	-0.27	0.32	1.46	-0.3	0	0	0.56	0	0	0.88	-0.34	0
CCDC47	0	0.25	0	0	-0.36	0	0	0	0	0	0	0	0
PAG1	0	-0.32	0	-0.4	-0.36	0.34	0.28	0	0.26	0.51	0.82	-0.4	0
ZEB2	0	-0.46	0.62	-0.65	-0.64	0.42	0.51	0	0	-0.46	0.85	-0.55	0
ARGLU1	0	0.27	-0.33	-0.28	-0.6	0	0.25	0	0	0.26	0	0.37	0
BTG3	0	-0.37	-0.29	-0.32	-0.66	0	0.3	-0.25	0.48	-0.36	0	-0.31	0.47
LDHA	0	-0.41	0.25	0.29	-1.45	0	0.26	0	0	-0.5	-0.76	0	0
SNRPD2	0	-0.27	-0.49	0.3	-1.11	0	0	-0.26	0	0	0	-0.3	0
PDE4DIP	0	-0.26	0.74	-0.25	-0.32	0	0	0.26	0	-0.31	0	-0.28	0
RPLP0	0	-0.26	-0.77	0.38	-0.92	0	-0.53	0	0	0.25	-0.27	0	0
LAP3	0	0.29	0.68	-0.36	-0.36	0.3	0	0.51	0	-0.35	-0.3	0.39	0
FAM162A	0	-0.32	0	0.59	-0.58	0	-0.25	0	-0.39	-0.45	-0.28	-0.3	0
NAA50	0	-0.26	0	0.28	-0.49	0	0.27	0	0	0.34	0	-0.29	0
NTS	0	0.75	0	0.97	0	0	0	0	0	0	0	0	0
LILRA4	0	2.17	0	0	0	0	0	0	0	0	0	0	0
PLAC8	0	2.08	0.3	0	0	0	0	0.71	0	0.42	0	0	0
PLD4	0	2.07	0.37	0	0	0	0	0.52	0	0.45	0	0	0
LILRB4	0	2	1.3	0	0	0	0	0.51	0	0	0	0	0
P2RY6	0	1.81	0.29	0	0	0	0	0.29	0	0	0	0.35	0
C12orf45	0	1.73	0	0	0	0	0	0.48	0	0	0	0	0
EGLN3	0	1.56	0	0.55	0	0	0	0	0	0	0	0	0
SLC20A1	0	1.53	0	0.26	-0.36	-0.26	0	0	0	0	0	0	0
SPIB	0	1.52	0	0	0	0	0	0.58	0	0.7	0	0	0
POLB	0	1.51	0	0.33	0	0	0	0	0	0	0	0	0
OPN3	0	1.48	0	0	0	0	0	0.45	0	0	0	0	0
C1orf186	0	1.46	0	0	0	0	0	0	0	0.25	1.06	0	0
SEMA7A	0	1.45	0	0	0	0	0	0.64	0	0.73	0.5	0	0
MPEG1	0	1.45	0.74	0	0	0	0	0	0	0	0	0	0
SLC15A4	0	1.44	0	0	0	0	0	0	0	0.26	0	0	0
ERN1	0	1.41	0.27	0	0.37	0	0	0	0	-0.29	0	0	0
PPP1R14B	0	1.37	0	0.29	-0.34	0	0	0	0	0	0	0	0
CCDC50	0	1.35	-0.3	0	-0.32	0	0	0	0	0.54	-0.42	0.36	0
TCL1A	0	1.34	0	0	0	0	0	0	0	2.38	0	0	0
UGCG	0	1.31	0	0.29	-0.4	0.42	0	0	0	0	-0.3	0.31	0
SEL1L3	0	1.3	0	0	0.44	0	0	0	0	0.9	0	0	0
SLAMF7	0	1.29	0.55	0	0.37	0	0	0.41	0	0	0	0	0
JCHAIN	0	1.27	0	0	3.29	0	0	-0.79	0	0.7	0	0	0
THEMIS2	0	1.27	0.68	0	0	0	0	0.54	0	0.32	0	0	0
NRROS	0	1.26	0	0	0	0	0	0.37	0	0.5	0	0	0
FCHSD2	0	1.25	0	0	0	0	0	0	0	0.36	0	0	0
PRMT9	0	1.24	0	0	-0.26	0	0.27	0.31	0	0	0.26	0	0
ETV6	0	1.23	0.32	0.28	0	0	0	0.83	0	0	0	0	0
PTCRA	0	1.22	0	0	0	0	0	0	0	0	0	0	0
DNASE1L3	0	1.21	0.42	0	0	0	0	0.63	0	0	0	0	0
ETV3	0	1.21	0.41	0	0	0	0	0.81	0	0	0	0	0
SMPD3	0	1.18	0	0	0	0	0	0	0	0	0	0	0
CLEC4C	0	1.16	0	0	0	0	0	0	0	0	0	0	0
GRASP	0	1.16	0.39	0	0	0	0	0.6	0	0.31	0.38	0.26	0
MS4A6A	0	1.16	2.06	0	0	0	0	0.78	0	0	0	0	0
RUBCN	0	1.15	0	0	0	0	0	0.25	0	0.33	0	0	0
CSF2RB	0	1.14	0	0	0	0	0	0.38	0	0	0.55	0.56	0
STAP1	0	1.13	0	0	0.36	0	0	0	0	0.86	0.41	0	0
HVCN1	0	1.1	0	0	0	0	0	0	0	0.66	0	0	0
CHAF1A	0	1.06	0	0	0	0	0.29	0	0.26	0	0	0	0
MYBL2	0	1.05	0.28	0	0	0	0	0	0.33	0.72	0	0	0
ZFAT	0	1.04	0	0	0	0	0	0	0	0	0	0	0
LRRC26	0	1.03	0	0.97	0	0	0	0	0	0	0	0	0
PTPRS	0	1.03	0	0	0	0	0	0	0	0	0	0	0
LINC00996	0	1.02	0	0	0	0	0	0	0	0	0.62	0	0
CYB561A3	0	0.97	0	0	0	0	0	0	0	0.6	0	0	0
SH2B3	0	0.96	0.39	0	0	0	0	0.33	0	0	0	0.3	0
INPP4A	0	0.96	0	0	0	0	0	0	0	0	0	0	0
RNASE6	0	0.96	0.88	0	0	0	0	0.42	0	0.27	0	0	0
HIVEP1	0	0.95	0	0	0	0	0	0.25	0	0	0	0	0
RP5-1171I10	0	0.95	0	0	0	0	0.25	0	0	0.46	0	0	0
ALG2	0	0.94	0	0	0	0	0	0	0	0	0	0	0
SEPHS1	0	0.94	0	0	0	0	0	0	0	0	0	0	0
EDEM1	0	0.93	0.32	0	0	0	0	0.42	0	0.37	0	0	0
PHACTR1	0	0.91	0.61	0	0	0	0	0.35	0	0.41	0.39	0	0
HIST2H2AA4	0	0.9	0.27	0	0	0	0	0	0	0	0	0	0
SHD	0	0.9	0	0	0	0	0	0	0	0	0	0	0
LILRA5	0	0.89	0.61	0	0	0	0	0.45	0	0	0	0	0
CIITA	0	0.89	0.33	0	0	0	0	0.47	0	0.29	0	0	0
DERL3	0	0.87	-0.33	0	2.16	0	0	0	0	0.28	0	0	0
CCDC88A	0	0.84	0.58	0	0	0	0	0.53	0	0.68	0.43	0	0
BCL11A	0	0.84	0	0.55	0	0	0	0	0	0.56	0	0	0
N4BP2L1	0	0.83	0	-0.26	0	0	0	0.37	0	0	0	0	0
FAM129C	0	0.82	0	0	0	0	0	0	0	0.56	0	0	0
CD2AP	0	0.82	0	0	0	0	0	0	0	0	0	0	0
DCK	0	0.81	0.32	0	-0.3	0	0	0	0.46	0.7	0	0	0
SLC7A11	0	0.81	0.58	0	0	0	0	0.43	0	0	0	0	0
P2RX1	0	0.79	0	0	0	0	0	0	0	0	1	0	0
SLC12A7	0	0.78	0.27	0	0	0	0	0	0	0	0	0.3	0
SIDT1	0	0.77	0	0	0	0	0	0	0	0.43	0	0	0
IGF2R	0	0.76	0	0	0	0	0	0	0	0	0	0	0
LAMP5	0	0.75	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC4	0	0.74	0	0	0.37	0	0	0	0	0.27	0	0	0
RELT	0	0.73	0.3	0	0	0	0	0.32	0	0	0	0	0
GLT1D1	0	0.72	0	0	0	0	0	0	0	0	0	0	0
AC104024	0	0.72	0	0	0	0	0	0	0	0	0	0	0
RAPGEF1	0	0.71	0.4	0	0	0	0	0.48	0	0	0	0	0
CLECL1	0	0.7	0	0	0	0	0	0.26	0	0.47	0	0	0
TNFSF13	0	0.69	1.03	0	0	0	0	0	0	0	0	0	0
FUZ	0	0.68	0	0	0	0	0	0	0	0	0	0	0
MOB1B	0	0.65	0	0	0	0	0	0	0	0	0	0	0
ARID3A	0	0.65	0	0	0	0	0	0	0	0	0	0	0
IGLON5	0	0.64	0	0	0	0	0	0	0	0	0	0	0
PACSIN1	0	0.62	0	0	0	0	0	0	0	0	0	0	0
RASSF2	0	0.62	0	0	0	0	0	0.33	0	0.35	0	0	0
WDFY4	0	0.61	0.25	0	0	0	0	0.41	0	0.38	0	0	0
PRKCB	0	0.61	0	0	0	0	0	0	0	0.29	0.31	0	0
CHML	0	0.61	0	0	0	0	0	0	0	0	0	0	0
CARD11	0	0.59	0	0	0	0	0	0	0	0	0	0	0
CTNS	0	0.56	0	0	0	0	0	0	0	0	0	0	0
PPP1R14A	0	0.56	0	0	0	2.21	0	0.88	0	0	0	0	0
KIAA0226L	0	0.56	0	0	0	0	0	0	0	0.88	0	0	0
SRC	0	0.55	0.32	0	0	0	0	0	0	0	0	0	0
CSF2RA	0	0.53	0.71	0	0	0	0	1.3	0	0	0	0	0
DRD4	0	0.53	0	0	0	0	0	0	0	0	0	0	0
SCAMP5	0	0.53	0	0	0	0	0	0	0	0	0	0	0
PIK3AP1	0	0.52	0.47	0	0	0	0	0	0	0.5	0	0	0
SUSD1	0	0.51	0	0	0	0	0	0	0	0	0	0	0
GAPT	0	0.49	0	0	0	0	0	0	0	0.32	0	0	0
KMO	0	0.49	0.59	0	0	0	0	0	0	0.3	0	0	0
MCOLN2	0	0.48	0	0	0	0	0	0.56	0	0.3	0	0	0
PAPD7	0	0.48	0	0	0	0	0	0	0	0	0	0	0
GRAMD1B	0	0.47	0	0	0	0	0	0	0	0	0	0	0
ICOSLG	0	0.45	0	0	0	0	0	0	0	0	0	0	0
NEK8	0	0.45	0	0	0	0	0	0	0	0	0	0	0
CDYL	0	0.44	0	0	0	0	0	0	0	0	0	0	0
RP11-117D22	0	0.44	0	0	0	0	0	0	0	0	0	0	0
SLC32A1	0	0.42	0	0	0	0	0	0	0	0	0	0	0
CBFA2T3	0	0.42	0	0	0	0	0	0	0	0	0	0	0
P2RY14	0	0.42	0	0	0	0	0	0	0	0	0.44	0	0
ABHD15	0	0.41	0	0	0	0	0	0	0	0	0	0	0
PHEX	0	0.41	0	0	0	0	0	0	0	0	0	0	0
PALD1	0	0.41	0	0	0	0	0	0	0	0	0	0	0
ZBTB18	0	0.4	0	0	0	0	0	0	0	0	0	0	0
VASH2	0	0.4	0	0	0	0	0	0	0	0	0	0	0
EPHB1	0	0.39	0	0	0	0	0	0	0	0	0	0	0
SLC41A2	0	0.38	0	0	0	0	0	0	0	0	0	0	0
AFF3	0	0.38	0	0	0	0	0	0	0	0.67	0	0	0
CRYM	0	0.36	0	0	0	0	0	0	0	0	0	0	0
CLCN5	0	0.35	0	0	0	0	0	0	0	0	0	0	0
CPLX1	0	0.35	0	0	0	0	0	0	0	0	0	0.3	0
