"CD4Tconv"	"Fibroblasts"	"Mono/Macro"	"Malignant"	"Plasma"	"Pericytes"	"CD8Tex"	"DC"	"Tprolif"	"B"	"Mast"	"Endothelial"	"Treg"
"RNF213.7"	0	0	0	-0.51	0	0	0	0	0	0	0	0	0
"DOCK10.5"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"C12orf57.6"	0	0	0	0.38	0	0	0	0	0	0	0	0	0
"HSPH1.7"	0	0	0	-0.83	0	0	0	0	0	0	0	0	0
"CYLD.2"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"CXCR6.10"	0	0	0	-0.61	0	0	0	0	0	0	0	0	0
"SH2D1A.10"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"SKAP1.10"	0	0	0	-0.47	0	0	0	0	0	0	0	0	0
"SNX9.2"	0	0	0	-0.49	0	0	0	0	0	0	0	0	0
"NFATC2.5"	0	0	0	-0.38	0	0	0	0	0	0	0	0	0
"STK4.7"	0	0	0	-0.56	0	0	0	0	0	0	0	0	0
"SIT1.9"	0	0	0	-0.34	0	0	0	0	0	0	0	0	0
"ITGB7.7"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"AD000671.6.8"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"DUSP5.5"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"CCDC107.2"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"SKIL.1"	0	0	0	0.28	0	0	0	0	0	0	0	0	0
"TWF2.3"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"CD8A.10"	0	0	0	-1.18	0	0	0	0	0	0	0	0	0
"LY9.8"	0	0	0	-0.53	0	0	0	0	0	0	0	0	0
"CTSW.9"	0	0	0	-0.77	0	0	0	0	0	0	0	0	0
"EPSTI1.3"	0	0	0	-0.45	0	0	0	0	0	0	0	0	0
"C4orf48.5"	0	0	0	-0.37	0	0	0	0	0	0	0	0	0
"ICAM2.7"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"CLU.9"	0	0	0	-0.59	0	0	0	0	0	0	0	0	0
"PPP1R16B.9"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"FAM46C.9"	0	0	0	-0.58	0	0	0	0	0	0	0	0	0
"TFPI.6"	0	0	0	-0.49	0	0	0	0	0	0	0	0	0
"FAM107B.5"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"PIK3IP1.9"	0	0	0	-0.43	0	0	0	0	0	0	0	0	0
"VPS37B.7"	0	0	0	-0.49	0	0	0	0	0	0	0	0	0
"SPOCK2.10"	0	0	0	-0.89	0	0	0	0	0	0	0	0	0
"TRAF1.8"	0	0	0	-0.48	0	0	0	0	0	0	0	0	0
"PSMB9.4"	0	0	0	-0.39	0	0	0	0	0	0	0	0	0
"CD4.9"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"KLF2.4"	0	0	0	-0.7	0	0	0	0	0	0	0	0	0
"ISLR.8"	0	0	0	-0.85	0	0	0	0	0	0	0	0	0
"NNMT.10"	0	0	0	-0.85	0	0	0	0	0	0	0	0	0
"ADAM19.3"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"LAT2.9"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"PECAM1.7"	0	0	0	-0.64	0	0	0	0	0	0	0	0	0
"CTLA4.10"	0	0	0	-0.59	0	0	0	0	0	0	0	0	0
"HSBP1.4"	0	0	0	0.3	0	0	0	0	0	0	0	0	0
"PDCD5.4"	0	0	0	0.26	0	0	0	0	0	0	0	0	0
"SEPT6.8"	0	0	0	-0.51	0	0	0	0	0	0	0	0	0
"CD5.10"	0	0	0	-0.38	0	0	0	0	0	0	0	0	0
"CCR7.9"	0	0	0	-0.82	0	0	0	0	0	0	0	0	0
"CCL4L2.10"	0	0	0	-1.67	0	0	0	0	0	0	0	0	0
"TNFRSF9.9"	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
"LEPROTL1.9"	0	0	0	-0.62	0	0	0	0	0	0	0	0	0
"SIRPG.10"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"PDGFRB.8"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"BST2.4"	0	0	0	0.3	0	0	0	0	0	0	0	0	0
"PDCD1.10"	0	0	0	-0.42	0	0	0	0	0	0	0	0	0
"GZMH.10"	0	0	0	-0.8	0	0	0	0	0	0	0	0	0
"RARRES1.6"	0	0	0	0.37	0	0	0	0	0	0	0	0	0
"RPL21.5"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"CCL3.9"	0	0	0	-1.58	0	0	0	0	0	0	0	0	0
"LAG3.8"	0	0	0	-0.74	0	0	0	0	0	0	0	0	0
"HIF1A.4"	0	0	0	-0.49	0	0	0	0	0	0	0	0	0
"FCMR.10"	0	0	0	-0.43	0	0	0	0	0	0	0	0	0
"AC133644.2.5"	0	0	0	-0.39	0	0	0	0	0	0	0	0	0
"MT-ND1.3"	0	0	0	0.45	0	0	0	0	0	0	0	0	0
"GNLY.10"	0	0	0	-2.32	0	0	0	0	0	0	0	0	0
"CXCR3.9"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"COL3A1.8"	0	0	0	-2.34	0	0	0	0	0	0	0	0	0
"FGL2.7"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"PLAC9.6"	0	0	0	-0.7	0	0	0	0	0	0	0	0	0
"RARRES2.9"	0	0	0	-1.44	0	0	0	0	0	0	0	0	0
"CD28.10"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"TXNIP.7"	0	0	0	-0.7	0	0	0	0	0	0	0	0	0
"TYROBP.10"	0	0	0	-1.3	0	0	0	0	0	0	0	0	0
"JAK3.7"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"RPLP2.2"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"JAML.9"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"PSTPIP1.8"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"IRF4.8"	0	0	0	-0.37	0	0	0	0	0	0	0	0	0
"SFRP2.9"	0	0	0	-1.81	0	0	0	0	0	0	0	0	0
"ANXA2.8"	0	0	0	-0.52	0	0	0	0	0	0	0	0	0
"NCF1.10"	0	0	0	-0.37	0	0	0	0	0	0	0	0	0
"TRIM22.3"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"INPP5D.6"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"ANKRD44.7"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"ARHGDIA.1"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"SPN.8"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"GLT8D2.8"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"CD79A.9"	0	0	0	-0.95	0	0	0	0	0	0	0	0	0
"RPS27L.5"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"ANXA11.1"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"FAP.7"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"DNAJB1.2"	0	0	0	-0.93	0	0	0	0	0	0	0	0	0
"SAMHD1.4"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"SUSD3.7"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"SLAMF1.7"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"SOD3.9"	0	0	0	-0.96	0	0	0	0	0	0	0	0	0
"RORA.5"	0	0	0	-0.45	0	0	0	0	0	0	0	0	0
"ICAM1.5"	0	0	0	-0.79	0	0	0	0	0	0	0	0	0
"PPP1R18.3"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"TPI1.6"	0	0	0	0.32	0	0	0	0	0	0	0	0	0
"TPM3.6"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"CKLF.7"	0	0	0	-0.43	0	0	0	0	0	0	0	0	0
"FCER1G.10"	0	0	0	-1.11	0	0	0	0	0	0	0	0	0
"ANKRD28.2"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"FBN1.8"	0	0	0	-0.52	0	0	0	0	0	0	0	0	0
"KLRD1.8"	0	0	0	-0.44	0	0	0	0	0	0	0	0	0
"OLFML3.6"	0	0	0	-0.48	0	0	0	0	0	0	0	0	0
"VPS13C.1"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"ITGA1.4"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"BGN.9"	0	0	0	-0.56	0	0	0	0	0	0	0	0	0
"DCN.10"	0	0	0	-2.9	0	0	0	0	0	0	0	0	0
"IQGAP1.1"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"CDC42SE2.8"	0	0	0	-0.39	0	0	0	0	0	0	0	0	0
"MEG3.7"	0	0	0	0.26	0	0	0	0	0	0	0	0	0
"CXCL2.8"	0	0	0	-0.47	0	0	0	0	0	0	0	0	0
"BNIP3.2"	0	0	0	0.34	0	0	0	0	0	0	0	0	0
"CBLB.9"	0	0	0	-0.44	0	0	0	0	0	0	0	0	0
"LAMA4.9"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"ELOVL5.4"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"DAB2.7"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"IRF8.9"	0	0	0	-0.39	0	0	0	0	0	0	0	0	0
"TRAT1.10"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"OPTN.4"	0	0	0	-0.34	0	0	0	0	0	0	0	0	0
"CALD1.9"	0	0	0	-0.66	0	0	0	0	0	0	0	0	0
"PIM2.9"	0	0	0	-0.63	0	0	0	0	0	0	0	0	0
"POSTN.7"	0	0	0	-1.18	0	0	0	0	0	0	0	0	0
"INSIG1.8"	0	0	0	-0.57	0	0	0	0	0	0	0	0	0
"CCR6.9"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"ENG.3"	0	0	0	-0.61	0	0	0	0	0	0	0	0	0
"ZYX.5"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"CLTB.3"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"TCF21.7"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"KLRB1.10"	0	0	0	-0.56	0	0	0	0	0	0	0	0	0
"DPT.6"	0	0	0	-0.57	0	0	0	0	0	0	0	0	0
"PDE3B.8"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"RAB31.7"	0	0	0	-0.55	0	0	0	0	0	0	0	0	0
"UBE2B.4"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"RGS10.7"	0	0	0	-0.42	0	0	0	0	0	0	0	0	0
"MFAP5.8"	0	0	0	-0.81	0	0	0	0	0	0	0	0	0
"MAP4K1.7"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"DHRS7.1"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"CMTM6.9"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"C11orf96.9"	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
"CCPG1.4"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"CAST.1"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"PODN.7"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"MMP19.6"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"DPP7.1"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"CASP1.6"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"SPI1.9"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"UBE2J1.2"	0	0	0	-0.34	0	0	0	0	0	0	0	0	0
"GGT5.6"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"COL1A2.8"	0	0	0	-2.44	0	0	0	0	0	0	0	0	0
"S1PR1.8"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"TNFRSF4.8"	0	0	0	-0.98	0	0	0	0	0	0	0	0	0
"CAPZB.5"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"COL5A2.8"	0	0	0	-0.68	0	0	0	0	0	0	0	0	0
"CYFIP2.9"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"GNAI2.6"	0	0	0	-0.37	0	0	0	0	0	0	0	0	0
"TUBA4A.9"	0	0	0	-0.63	0	0	0	0	0	0	0	0	0
"PDGFRA.8"	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
"PPP3CC.2"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"RPL34.6"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"OXNAD1.9"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"PER1.3"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"SRPRA.2"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"ARHGAP4.7"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"RCN3.7"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"SMAP2.7"	0	0	0	-0.34	0	0	0	0	0	0	0	0	0
"COL15A1.5"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"LIMD2.9"	0	0	0	-0.59	0	0	0	0	0	0	0	0	0
"ARID5A.7"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"CD34.9"	0	0	0	-0.42	0	0	0	0	0	0	0	0	0
"CAMK4.9"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"TIMP3.9"	0	0	0	-0.61	0	0	0	0	0	0	0	0	0
"IFI35.1"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"SATB1.7"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"NFE2L2.5"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"CSK.7"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"AKR1C3.5"	0	0	0	-0.47	0	0	0	0	0	0	0	0	0
"IGKC.8"	0	0	0	-1.96	0	0	0	0	0	0	0	0	0
"CMTM3.4"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"FLT3LG.3"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"FSTL1.8"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"GBP4.2"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"HLA-DPB1.10"	0	0	0	-0.87	0	0	0	0	0	0	0	0	0
"MAPRE2.2"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"LHFP.8"	0	0	0	-0.42	0	0	0	0	0	0	0	0	0
"C15orf48.6"	0	0	0	-0.99	0	0	0	0	0	0	0	0	0
"MFAP4.7"	0	0	0	-0.85	0	0	0	0	0	0	0	0	0
"SEC14L1.6"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"TIMP2.8"	0	0	0	-0.59	0	0	0	0	0	0	0	0	0
"CAV1.7"	0	0	0	-0.62	0	0	0	0	0	0	0	0	0
"PARP8.2"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"IL1RN.10"	0	0	0	-0.7	0	0	0	0	0	0	0	0	0
"DNAJB6.6"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"TYMP.6"	0	0	0	-0.42	0	0	0	0	0	0	0	0	0
"PIM1.5"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"CCNH.2"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"SSR4.4"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"HTRA3.8"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"TPP1.3"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"GLTSCR2.4"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"SPTAN1.5"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"NDRG1.3"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"MGP.9"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"COL12A1.9"	0	0	0	-0.61	0	0	0	0	0	0	0	0	0
"CD74.9"	0	0	0	-0.86	0	0	0	0	0	0	0	0	0
"MT-ND2.2"	0	0	0	0.25	0	0	0	0	0	0	0	0	0
"IL32.6"	0	0	0	-0.75	0	0	0	0	0	0	0	0	0
"JMJD1C.2"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"GK.7"	0	0	0	-0.53	0	0	0	0	0	0	0	0	0
"DUSP2.9"	0	0	0	-0.84	0	0	0	0	0	0	0	0	0
"CCDC85B.3"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"CALCRL.5"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"SERPING1.6"	0	0	0	-1.24	0	0	0	0	0	0	0	0	0
"COL1A1.7"	0	0	0	-2.72	0	0	0	0	0	0	0	0	0
"CXCL13.10"	0	0	0	-1.42	0	0	0	0	0	0	0	0	0
"ABLIM1.8"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"NPDC1.7"	0	0	0	-0.44	0	0	0	0	0	0	0	0	0
"MYH9.8"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"FAM129A.4"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"ACTA2.8"	0	0	0	-0.47	0	0	0	0	0	0	0	0	0
"SPON2.7"	0	0	0	-0.83	0	0	0	0	0	0	0	0	0
"HLA-DPA1.10"	0	0	0	-0.73	0	0	0	0	0	0	0	0	0
"GRB2.10"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"ANKRD12.3"	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
"FN1.9"	0	0	0	-1.32	0	0	0	0	0	0	0	0	0
"PMP22.8"	0	0	0	-0.57	0	0	0	0	0	0	0	0	0
"PBX4.10"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"THBS2.8"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"GYPC.8"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"NR4A3.8"	0	0	0	-0.48	0	0	0	0	0	0	0	0	0
"CD38.7"	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
"TNFSF10.3"	0	0	0	0.36	0	0	0	0	0	0	0	0	0
"BTG1.8"	0	0	0	-0.65	0	0	0	0	0	0	0	0	0
"SLC9A3R1.9"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"CNOT6L.7"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"HIST1H4C.7"	0	0	0	0.4	0	0	0	0	0	0	0	0	0
"RAB11FIP1.7"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"IL2RA.7"	0	0	0	-0.45	0	0	0	0	0	0	0	0	0
"GLUD1.1"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"RNASET2.9"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"TERF2IP.5"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"BIN1.3"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"CD248.8"	0	0	0	-0.48	0	0	0	0	0	0	0	0	0
"CXCL12.8"	0	0	0	-0.57	0	0	0	0	0	0	0	0	0
"CHCHD10.4"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"IGF2.8"	0	0	0	0.46	0	0	0	0	0	0	0	0	0
"MGAT4A.7"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"YPEL5.9"	0	0	0	-0.53	0	0	0	0	0	0	0	0	0
"FKBP5.1"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"STK17A.10"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"G0S2.6"	0	0	0	-1.18	0	0	0	0	0	0	0	0	0
"CLIC3.6"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"CTSL.7"	0	0	0	-0.74	0	0	0	0	0	0	0	0	0
"TXN.5"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"NQO1.6"	0	0	0	-0.37	0	0	0	0	0	0	0	0	0
"EFEMP1.7"	0	0	0	-0.34	0	0	0	0	0	0	0	0	0
"CHD1.4"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"ROMO1.1"	0	0	0	0.26	0	0	0	0	0	0	0	0	0
"IFITM1.5"	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
"NFKBID.9"	0	0	0	-0.39	0	0	0	0	0	0	0	0	0
"KRT6A.10"	0	0	0	-1.78	0	0	0	0	0	0	0	0	0
"GJB2.8"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"C19orf33.8"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"PRSS23.9"	0	0	0	-0.49	0	0	0	0	0	0	0	0	0
"PLEK.10"	0	0	0	-0.45	0	0	0	0	0	0	0	0	0
"LOXL2.8"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"CLK1.6"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"TMEM123.3"	0	0	0	0.27	0	0	0	0	0	0	0	0	0
"PDCD4.8"	0	0	0	-0.37	0	0	0	0	0	0	0	0	0
"LAYN.6"	0	0	0	-0.31	0	0	0	0	0	0	0	0	0
"IRF7.6"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"NEAT1.7"	0	0	0	-0.44	0	0	0	0	0	0	0	0	0
"MYADM.4"	0	0	0	-0.43	0	0	0	0	0	0	0	0	0
"RAMP2.9"	0	0	0	-0.49	0	0	0	0	0	0	0	0	0
"MMP14.4"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"HLA-DRB1.10"	0	0	0	-0.82	0	0	0	0	0	0	0	0	0
"PLAUR.5"	0	0	0	-0.93	0	0	0	0	0	0	0	0	0
"THY1.8"	0	0	0	-0.92	0	0	0	0	0	0	0	0	0
"PRKCDBP.10"	0	0	0	-0.42	0	0	0	0	0	0	0	0	0
"ARRB2.9"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"MXRA5.6"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"FTH1.4"	0	0	0	-0.69	0	0	0	0	0	0	0	0	0
"CFD.9"	0	0	0	-2.61	0	0	0	0	0	0	0	0	0
"PPP2R5C.5"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"EID1.9"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"RBKS.9"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"IFI30.4"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"CCDC80.8"	0	0	0	-0.95	0	0	0	0	0	0	0	0	0
"PCOLCE.8"	0	0	0	-0.55	0	0	0	0	0	0	0	0	0
"PBXIP1.8"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"RUNX3.7"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"MGAT1.5"	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
"HTRA1.8"	0	0	0	-0.57	0	0	0	0	0	0	0	0	0
"CRISPLD2.7"	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
"CSF1.5"	0	0	0	-0.44	0	0	0	0	0	0	0	0	0
"TMEM2.6"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"TMEM176A.8"	0	0	0	-0.58	0	0	0	0	0	0	0	0	0
"SULF1.9"	0	0	0	-0.45	0	0	0	0	0	0	0	0	0
"APOC1.3"	0	0	0	-0.44	0	0	0	0	0	0	0	0	0
"PTGS2.5"	0	0	0	-0.38	0	0	0	0	0	0	0	0	0
"ARID5B.3"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"TNFAIP3.9"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"PTHLH.4"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"ALDH3A1.9"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"CD8B.10"	0	0	0	-0.49	0	0	0	0	0	0	0	0	0
"CHORDC1.6"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"TMEM176B.9"	0	0	0	-0.63	0	0	0	0	0	0	0	0	0
"BCL2A1.10"	0	0	0	-0.77	0	0	0	0	0	0	0	0	0
"APOBEC3C.9"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"PLPP1.8"	0	0	0	-0.43	0	0	0	0	0	0	0	0	0
"HLA-DRB5.10"	0	0	0	-0.69	0	0	0	0	0	0	0	0	0
"ARL4C.7"	0	0	0	-0.35	0	0	0	0	0	0	0	0	0
"RPS27.8"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"LGALS1.8"	0	0	0	-0.7	0	0	0	0	0	0	0	0	0
"ID2.4"	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
"ZFP36L1.4"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"HBEGF.6"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"DNAJA1.4"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"CRTAP.7"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"TAGLN.8"	0	0	0	-0.96	0	0	0	0	0	0	0	0	0
"FKBP11.6"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"COL6A2.9"	0	0	0	-1.18	0	0	0	0	0	0	0	0	0
"LTB.9"	0	0	0	-0.64	0	0	0	0	0	0	0	0	0
"SERPINF1.5"	0	0	0	-0.62	0	0	0	0	0	0	0	0	0
"TCF4.7"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"ZFP36L2.8"	0	0	0	-0.45	0	0	0	0	0	0	0	0	0
"CST3.5"	0	0	0	-0.6	0	0	0	0	0	0	0	0	0
"PPP1R15A.8"	0	0	0	-0.26	0	0	0	0	0	0	0	0	0
"CCL20.8"	0	0	0	-0.63	0	0	0	0	0	0	0	0	0
"AKR1C2.6"	0	0	0	-0.4	0	0	0	0	0	0	0	0	0
"CSTB.9"	0	0	0	-0.34	0	0	0	0	0	0	0	0	0
"ITGB1.7"	0	0	0	-0.27	0	0	0	0	0	0	0	0	0
"GLUL.5"	0	0	0	-0.48	0	0	0	0	0	0	0	0	0
"GATA3.10"	0	0	0	-0.34	0	0	0	0	0	0	0	0	0
"FABP5.8"	0	0	0	-1.05	0	0	0	0	0	0	0	0	0
"AEBP1.8"	0	0	0	-0.67	0	0	0	0	0	0	0	0	0
"MMP2.8"	0	0	0	-0.97	0	0	0	0	0	0	0	0	0
"CRYAB.7"	0	0	0	-0.36	0	0	0	0	0	0	0	0	0
"INHBA.6"	0	0	0	-0.33	0	0	0	0	0	0	0	0	0
"G3BP2.9"	0	0	0	-0.32	0	0	0	0	0	0	0	0	0
"MXRA8.9"	0	0	0	-0.47	0	0	0	0	0	0	0	0	0
"KRT16.10"	0	0	0	-1.04	0	0	0	0	0	0	0	0	0
"FBLN2.9"	0	0	0	-0.51	0	0	0	0	0	0	0	0	0
"HLA-DQB1.10"	0	0	0	-0.76	0	0	0	0	0	0	0	0	0
"AKR1C1.5"	0	0	0	-0.3	0	0	0	0	0	0	0	0	0
"GSTM3.6"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"GPX3.5"	0	0	0	-0.47	0	0	0	0	0	0	0	0	0
"RBPJ.5"	0	0	0	-0.29	0	0	0	0	0	0	0	0	0
"RGS16.8"	0	0	0	-0.41	0	0	0	0	0	0	0	0	0
"HSPG2.4"	0	0	0	-0.38	0	0	0	0	0	0	0	0	0
"APOBEC3G.9"	0	0	0	-0.28	0	0	0	0	0	0	0	0	0
"HSPA6.6"	0	0	0	-0.73	0	0	0	0	0	0	0	0	0
"SLPI.8"	0	0	0	-0.59	0	0	0	0	0	0	0	0	0
"MT1E.5"	0	0	0	-0.45	0	0	0	0	0	0	0	0	0
"WFDC2.3"	0	0	0	2.87	0	0	0	0	0	0	0	0	0
"MIA.1"	0	0	0	2.7	0	0	0	0	0	0	0	0	0
